n_layers,layer_1_log2,layer_2_log2,layer_3_log2,layer_4_log2,alpha_log10,learning_are_init_log10,beta_1_log10,beta_2_log10,tol_log_10
3,3.8074,1.585,2.585,3.4594,-4.738,-4.1139,-1.3366,-1.2513,0.9716
1,4.2479,2.585,3,3,-1.8514,-3.584,-0.3465,-1.5201,-0.2524
3,2.8074,2.3219,4,2.3219,-4.0522,-2.7446,-1.7783,-1.7406,-1.1344
3,1.585,4.5236,3.7004,2.8074,-3.3503,-3.8412,-0.2647,-2.8661,-1.5448
2,3.1699,3.585,2.585,3.9069,-4.493,-3.1818,-1.5361,-1.3812,-0.8662
3,2.3219,1,3.9069,2,-2.6511,-3.7447,-1.8624,-0.5957,-0.182
2,4.7549,3.1699,1.585,4.8074,-4.9734,-5.5727,-0.739,-0.9104,-0.5471
3,4,3.7004,3,1.585,-1.244,-2.4673,-2.8265,-0.379,0.3871
3,3.7004,4.0875,4.9542,1,-3.0398,-5.6042,-2.2959,-2.6259,-0.4159
1,3.1699,1.585,3.3219,4.0875,-3.6684,-4.5576,-0.8627,-0.7231,0.7863
1,1.585,4.3219,2,4.7549,-5.1764,-5.1256,-0.559,-0.2019,-1.6225
4,4.585,2,1,1.585,-2.0443,-2.9763,-2.1668,-2.1691,-1.0013
2,3,4.9069,4.2479,3.8074,-5.6464,-2.0439,-2.499,-2.4594,-0.7117
4,1,2,1.585,2.8074,-2.9975,-4.9869,-2.8508,-0.8569,0.562
4,2,2.585,2.3219,3.1699,-3.9869,-5.8432,-1.1704,-0.1296,-1.9766
2,1,3.9069,4.4594,4.2479,-1.3174,-4.3752,-1.4137,-2.7233,0.5478
4,3.4594,1.585,3.585,2.585,-5.9817,-3.2445,-2.0401,-1.925,0.0988
2,2.3219,2.8074,1,1.585,-5.4824,-4.7277,-0.0733,-2.3131,-1.3558
2,4.8074,4.7549,2,4.5236,-2.3407,-5.2768,-2.5791,-1.9556,0.2183
2,2.3219,3.4594,4.7549,2,-1.6467,-2.2166,-1.0512,-1.1226,-1.747
