n_layers,layer_1_log2,layer_2_log2,layer_3_log2,layer_4_log2,alpha_log10,learning_are_init_log10,beta_1_log10,beta_2_log10,tol_log_10
1,2.8074,1,3.9069,3.1699,-4.024,-3.8212,-2.1886,-1.4778,-0.9365
1,3.4594,3.3219,3,5,-4.3145,-3.0559,-1.2579,-2.4557,0.5711
3,4,2,1.585,3.4594,-4.6578,-4.1323,-2.8497,-1.2658,-0.2777
2,2,3.9069,2,2,-3.3923,-3.4002,-1.4007,-1.6755,0.0515
2,3,2.585,2.3219,2.8074,-1.6624,-5.5333,-2.5913,-1.6352,-0.9522
3,2.3219,1.585,3.3219,2.3219,-2.4942,-2.6275,-0.2322,-0.8774,-1.9809
3,1.585,1.585,2.585,3.3219,-4.9158,-3.7037,-0.4311,-2.193,0.9884
2,4.585,2.8074,4.858,3.7004,-2.9074,-5.7181,-0.6581,-0.0926,-1.4667
3,1,3.1699,4.6439,4.2479,-5.4578,-4.749,-2.2974,-2.6432,0.3359
2,4.9542,4.2479,3.4594,2.585,-3.8349,-4.9359,-0.815,-2.9978,-0.6663
3,4.2479,4.7549,3.8074,4.4594,-3.6004,-2.2109,-1.1779,-1.0137,-1.6615
3,3.1699,5,4.1699,1,-1.4654,-4.2675,-1.6457,-0.3255,0.845
1,3.9069,2.3219,1,2.585,-5.9702,-5.3051,-0.9836,-1.0589,-0.0531
4,2.3219,4,2.585,1.585,-1.1202,-2.5322,-2.9748,-1.9145,-0.5563
2,3.585,1,1.585,1,-3.0775,-2.8385,-1.9081,-2.8456,-1.3389
1,2.8074,2,4.585,4.7549,-2.685,-4.4243,-2.5006,-0.265,0.2171
3,1.585,2.585,1,4.1699,-5.6426,-3.2705,-1.7414,-0.5267,-1.222
4,1,3.7004,2,1.585,-2.0203,-5.8428,-0.0661,-0.6084,-0.4603
4,4.7549,3.585,3,3.9069,-1.8048,-5.0157,-2.0629,-2.3839,-1.8369
2,2.3219,4.5236,4.3219,2,-5.1044,-2.0703,-0.4908,-1.988,0.4332
