n_layers,layer_1_log2,layer_2_log2,layer_3_log2,layer_4_log2,alpha_log10,learning_are_init_log10,beta_1_log10,beta_2_log10,tol_log_10
2,2.3219,2.585,3.9069,2.3219,-4.4764,-4.7318,-2.6702,-1.3091,-0.6592
2,3.8074,2,1,4,-3.9802,-5.4156,-2.3374,-2.5765,-0.4172
3,3,1.585,3,2.8074,-3.6515,-4.4463,-0.8742,-0.9011,-1.0203
3,4.9069,2,3.3219,3.1699,-4.8863,-2.615,-1.6989,-0.4999,0.7611
4,4.2479,3,1.585,3,-1.4121,-4.852,-2.8991,-1.5107,-0.1334
2,2.585,2.3219,2,2,-2.5744,-5.3544,-1.987,-0.4156,-0.2714
3,3.4594,4.7004,2.8074,4.7549,-1.8296,-2.5963,-2.5162,-1.684,0.5801
1,1,3.585,4.0875,3,-2.9408,-3.4047,-1.4755,-2.1915,0.5257
3,1.585,4.2479,3.585,1.585,-4.5804,-3.3467,-1.3489,-0.2739,0.1436
2,3,3.3219,1,4.858,-5.8971,-3.9758,-2.199,-1.0561,-1.7944
3,3.3219,1.585,4.7549,2,-5.5868,-4.0304,-0.3332,-2.8056,0.0841
4,2.3219,4,3.7004,4.3923,-1.5875,-4.3817,-0.1799,-2.9838,-0.5451
1,1,4.9069,2,1,-5.3994,-3.66,-0.6375,-1.8159,-1.8679
2,2,3.1699,4.3923,3.4594,-2.0666,-2.0081,-0.531,-0.0771,-1.1166
4,4.6439,2.3219,3,4.5236,-3.2234,-5.8742,-1.008,-0.7515,-1.4793
2,2,4.1699,2.585,1,-1.1785,-2.2037,-1.1261,-2.262,0.2638
3,3.585,1.585,1.585,1.585,-5.0534,-3.1235,-2.784,-1.9751,-1.678
1,4,1,4.8074,3.8074,-2.4177,-5.7338,-1.6139,-1.3744,-0.8119
2,4.585,4.5236,4.4594,2.585,-4.0292,-2.8578,-0.0818,-2.5388,-1.3769
3,1.585,3.7004,2.3219,4.1699,-3.3457,-5.0451,-1.898,-0.9099,0.862
