n_layers,layer_1_log2,layer_2_log2,layer_3_log2,layer_4_log2,alpha_log10,learning_are_init_log10,beta_1_log10,beta_2_log10,tol_log_10
2,4,3.3219,4.0875,4.585,-4.4147,-3.3067,-1.4881,-0.2802,-0.0136
2,2.8074,2.3219,3.585,2.8074,-2.7435,-4.1488,-2.1044,-1.8254,0.4054
2,4.2479,3.8074,2.8074,3.4594,-4.0716,-4.5742,-1.7746,-0.3192,-1.4047
1,3.1699,3,2.585,2,-3.614,-5.9204,-1.147,-1.3729,-1.0727
3,3.4594,3.585,4.3219,2.3219,-5.7635,-4.9182,-0.7096,-1.5637,-0.402
2,4.9069,3.4594,3.1699,3.7004,-3.8808,-3.5135,-0.9065,-1.0844,0.1282
3,2,2.8074,3.3219,4.4594,-1.2105,-2.1027,-2.069,-1.0414,-0.9196
4,2.585,2,2,1,-1.3635,-4.2731,-1.5516,-1.7332,-0.1891
3,4.5236,4.3219,4.4594,3,-1.5763,-3.7684,-2.9039,-0.714,-1.8414
3,2.8074,1.585,1,4.8074,-5.303,-2.9862,-2.3337,-2.9036,-0.2808
2,1.585,4.1699,4.8074,3.1699,-1.8404,-4.6943,-0.8469,-2.4743,-0.6957
3,1,4.4594,3.4594,3.1699,-3.4319,-2.2912,-1.2236,-0.4657,0.9878
3,1.585,2.3219,1.585,1.585,-5.6055,-5.0112,-0.2028,-2.708,0.5611
1,2,2.8074,2.3219,4.3923,-2.868,-5.4303,-2.5927,-0.8261,-0.588
4,2.3219,1.585,3.9069,3.9069,-4.7882,-2.4669,-0.3677,-1.2035,-1.9812
2,4.7549,1,2.585,2.585,-4.6182,-5.2224,-0.1293,-1.9812,-1.3549
4,3.3219,4.9069,1.585,2,-5.2075,-5.6758,-2.7316,-2.3241,0.261
1,1,1,1,1.585,-3.1564,-3.0509,-1.8297,-2.665,-1.2181
3,4.1699,2.585,5,4.0875,-2.0799,-2.6903,-2.5319,-2.1665,0.7508
2,3.7004,4.7004,2.3219,1.585,-2.3966,-3.9641,-0.495,-0.1521,-1.6144
