n_layers,layer_1_log2,layer_2_log2,layer_3_log2,layer_4_log2,alpha_log10,learning_are_init_log10,beta_1_log10,beta_2_log10,tol_log_10
2,3.585,1.585,3,3.9069,-2.4381,-3.3415,-0.8456,-1.6759,-0.2893
3,2.8074,4.585,2.3219,3.3219,-4.4348,-3.4764,-1.3238,-0.866,-0.0871
3,4.1699,2,2,2,-4.1312,-4.8419,-2.5274,-1.2018,-0.5008
3,2,3.7004,2.8074,1.585,-2.8394,-2.8576,-2.8261,-1.5157,-1.3436
1,3.9069,3.8074,3.4594,2.585,-1.0122,-5.299,-1.6211,-2.321,-0.8685
2,1.585,2.585,3.3219,3.585,-1.49,-4.0215,-0.915,-2.2089,0.8379
2,2.585,2.3219,3.9069,4.7549,-5.644,-3.839,-0.1152,-0.7336,0.6911
2,2.8074,1.585,4.7004,3.585,-2.6008,-4.48,-1.0569,-0.3196,-0.6828
4,1.585,4.1699,1.585,3,-5.8976,-3.7917,-0.5016,-0.9138,0.9529
2,3.585,2.585,4.5236,1.585,-3.7529,-2.6447,-2.249,-2.8297,-1.4952
4,2,2.8074,1,4.9069,-2.1118,-4.7528,-1.7598,-1.9095,-1.6028
3,3.1699,4.4594,3.7004,3.1699,-3.5725,-5.5089,-2.0264,-0.0176,0.1449
1,3,1,4.3219,2.3219,-5.0871,-5.7359,-0.7231,-2.8728,-0.9837
1,4.3923,3,1,4.585,-3.0645,-5.9995,-2.5838,-0.5198,-1.1587
2,4.9069,4.9542,3,2.3219,-5.39,-4.3965,-1.8165,-2.0063,-1.9981
3,4.5236,3.4594,2.3219,4.0875,-1.6607,-2.0605,-2.9324,-2.5072,0.3943
3,4.6439,1.585,1.585,1,-3.3289,-2.2247,-0.4369,-1.3792,0.0725
1,1,3.585,4.9069,2,-4.7947,-2.5565,-2.2656,-1.2728,0.4263
4,2.3219,4.1699,4.0875,1,-1.9274,-5.0856,-1.4285,-2.6269,-0.4833
3,1,2,2,4.3219,-4.6305,-3.12,-0.2584,-0.1616,-1.7652
