n_layers,layer_1_log2,layer_2_log2,layer_3_log2,layer_4_log2,alpha_log10,learning_are_init_log10,beta_1_log10,beta_2_log10,tol_log_10
3,2.585,1.585,4.2479,2.8074,-3.084,-3.3519,-2.6365,-1.3528,-1.5979
4,2,4.3219,3,1,-4.0312,-4.0848,-2.0678,-1.1279,-0.4099
1,3.585,3.4594,2.3219,2.585,-2.1498,-2.0706,-0.8292,-2.8803,0.0837
2,4.7549,2.585,1.585,1.585,-3.787,-5.2184,-2.3183,-0.0397,0.3807
3,4.0875,3.1699,4.6439,4.3219,-3.4392,-3.0417,-1.8049,-1.7239,0.1092
3,2.3219,4.1699,1.585,4.858,-2.7239,-4.2144,-1.4104,-1.2554,0.9858
1,1.585,2,3,3.1699,-1.4059,-5.9925,-2.7264,-0.9891,-1.2535
3,3.1699,4.6439,3.8074,2.3219,-5.0727,-3.8097,-2.1618,-2.3811,-0.907
3,2.585,3,1.585,3.8074,-1.0588,-2.7351,-0.535,-0.8907,-1.1605
3,3.3219,1,2.585,2,-4.4297,-2.5554,-0.978,-1.8884,-1.8228
2,4.3923,2,4,3.585,-5.2655,-5.1447,-1.2286,-2.2324,-1.8822
2,3.8074,4.9542,3.9069,3.3219,-1.9704,-3.5255,-2.9302,-0.2075,-0.536
2,1.585,1,3.4594,3,-1.6962,-4.4726,-0.2611,-1.5451,-0.1312
4,4.5236,3.7004,1,2,-3.6268,-5.4865,-1.7656,-2.0498,-0.7794
4,2.8074,4.4594,4.9542,1.585,-5.528,-5.6317,-0.6672,-2.646,0.8379
1,4.9069,2.3219,4.5236,4.0875,-2.8649,-2.8977,-0.3337,-0.3648,-1.5409
2,1,3.3219,1,3.4594,-4.6351,-2.2224,-0.1087,-2.8145,0.6698
1,1,1.585,2,4.7004,-5.914,-4.8898,-1.6157,-0.618,0.5398
4,2.3219,3.9069,3.1699,4.3923,-4.8323,-4.6209,-1.123,-0.5664,-0.9998
2,3.8074,2.585,2.585,1.585,-2.4605,-3.6045,-2.4699,-2.509,-0.2962
