n_layers,layer_1_log2,layer_2_log2,layer_3_log2,layer_4_log2,alpha_log10,learning_are_init_log10,beta_1_log10,beta_2_log10,tol_log_10
1,2.8074,2,2.8074,3.1699,-1.5722,-4.5256,-2.5644,-1.896,-0.9047
3,2.3219,3.4594,2.585,4.3923,-3.4824,-2.8043,-1.4105,-1.2638,-1.6349
3,4.9069,3.585,3.4594,2.3219,-2.8862,-4.1239,-1.9386,-1.0499,0.1431
2,3.1699,1,2.585,4.4594,-1.7546,-4.2341,-0.2636,-2.3585,-0.2743
2,2.585,4.5236,3.3219,3.3219,-4.2077,-5.388,-1.5136,-1.0707,-1.0489
3,4.4594,2.585,3.7004,4,-2.3885,-5.915,-2.0621,-2.2424,0.6902
3,3.1699,4.0875,2.3219,4.9069,-4.42,-2.4141,-2.1214,-0.7742,0.0847
4,2,2.3219,3,2.3219,-4.6968,-5.0384,-1.1084,-2.5678,-1.1597
2,3.8074,2.3219,2,1.585,-2.037,-3.6871,-0.0194,-0.0109,-1.2959
4,4.7549,3.8074,1,1.585,-3.9642,-4.9615,-2.2588,-0.6427,-0.0996
1,4.1699,1.585,1,1.585,-5.3747,-3.3231,-0.8271,-2.9582,0.2938
2,1.585,3,4.7549,2,-5.1858,-2.6267,-0.3489,-0.4331,0.5178
3,4.3219,4.585,3.9069,3,-5.7852,-3.0392,-0.6419,-2.8391,0.7717
4,1.585,2,4.858,3.7004,-5.6002,-3.4862,-1.7133,-0.5619,-1.5299
2,2,4.858,2,2.585,-1.0721,-3.9433,-2.8624,-1.7707,-1.8253
1,1,3.1699,4,1,-4.9186,-4.6326,-1.3325,-2.0911,-1.9218
3,3.4594,1.585,4.585,4.0875,-2.5611,-2.3136,-0.9609,-2.4683,-0.7902
2,1.585,4.3923,4.3219,3.585,-3.2357,-5.6731,-2.7454,-1.4938,0.8678
3,2.585,1.585,1.585,2,-3.5638,-2.1315,-2.4238,-0.2762,-0.6378
2,3.9069,3.3219,1.585,4.6439,-1.3943,-5.5113,-0.4793,-1.5892,-0.3668
