n_layers,layer_1_log2,layer_2_log2,layer_3_log2,layer_4_log2,alpha_log10,learning_are_init_log10,beta_1_log10,beta_2_log10,tol_log_10
1,4,4.1699,2.585,2.585,-2.3989,-4.9798,-2.6244,-0.3828,0.737
3,2.3219,3.4594,2.585,3.3219,-3.3215,-5.3008,-1.7513,-0.7978,-0.6587
2,2.8074,4.9542,4.3219,2,-4.2686,-3.5593,-2.2056,-1.8769,-0.4707
4,2.3219,2.585,4.1699,3.1699,-4.9438,-5.4396,-1.1751,-1.7205,0.1769
4,3.7004,3.8074,2,2,-5.2529,-4.1973,-1.3394,-1.6019,-1.8941
3,4.5236,1,3.585,3.9069,-1.7485,-4.539,-0.1622,-2.2056,-0.1687
3,3,2,3.9069,2.585,-2.7685,-3.6326,-2.7851,-2.5768,-0.304
2,4.3923,1.585,3.3219,1,-4.6396,-2.2557,-0.9944,-2.934,-0.6114
2,1,1.585,2,3.7004,-1.9828,-2.0133,-1.517,-2.5477,-1.539
3,2.3219,4.2479,3.1699,4.3219,-3.6384,-5.1045,-1.3661,-2.3779,-1.2263
2,2.8074,2.3219,1.585,4.9542,-3.7809,-5.6932,-2.422,-1.1523,0.5273
3,3.8074,4.5236,1,1.585,-2.5512,-2.8445,-1.8634,-1.2961,0.6324
2,3.3219,2.585,4.8074,2.3219,-1.0007,-3.3027,-0.6691,-1.0375,-1.2825
1,1.585,3.3219,2.3219,3,-5.7798,-3.8238,-0.355,-0.6683,-1.5948
3,1.585,4.7004,3,4.6439,-2.2038,-2.5937,-0.0264,-0.1093,0.0173
2,3.585,3.1699,3.585,4,-1.3394,-2.7211,-2.9507,-0.242,0.9017
1,4.8074,1,1.585,1.585,-3.0377,-4.272,-2.3496,-1.3653,-0.9525
4,1.585,2.8074,4.4594,1,-5.1477,-5.8252,-1.978,-2.0304,-1.7468
1,1.585,3.9069,4.6439,3.585,-4.2094,-3.1442,-0.5773,-2.8133,0.3789
4,4.8074,2,1.585,4.4594,-5.524,-4.7273,-0.8185,-0.4539,-0.8652
